token,tag
Finally,O
today,B-DATE
",",O
we,O
learned,O
that,O
the,O
space,O
agency,O
has,O
finally,O
taken,O
a,O
giant,O
leap,O
forward,O
.,O
Air,O
Force,O
Lieutenant,O
Colonel,O
Eileen,O
Collins,O
will,O
be,O
named,O
commander,O
of,O
the,O
Space,O
Shuttle,O
Columbia,O
for,O
a,O
mission,O
in,O
December,B-DATE
.,O
Colonel,O
Collins,O
has,O
been,O
the,O
co,O
-,O
pilot,O
before,O
",",O
but,O
this,O
time,O
she,O
',O
s,O
the,O
boss,O
.,O
Here,O
',O
s,O
ABC,O
',O
s,O
Ned,O
Potter,O
.,O
Even,O
two,O
hundred,O
miles,O
up,O
in,O
space,O
",",O
there,O
has,O
been,O
a,O
glass,O
ceiling,O
.,O
It,O
wasn,O
',O
t,O
until,O
twenty,B-DURATION
years,I-DURATION
after,O
the,O
first,O
astronauts,O
were,O
chosen,O
that,O
NASA,O
finally,O
included,O
six,O
women,O
",",O
and,O
they,O
were,O
all,O
scientists,O
",",O
not,O
pilots,O
.,O
No,O
woman,O
has,O
actually,O
been,O
in,O
charge,O
of,O
a,O
mission,O
until,O
now,B-DATE
.,O
Just,O
the,O
fact,O
that,O
we,O
',O
re,O
doing,O
the,O
job,O
that,O
we,O
',O
re,O
doing,O
makes,O
us,O
role,O
models,O
.,O
That,O
was,O
Eileen,O
Collins,O
",",O
after,O
she,O
flew,O
as,O
the,O
first,O
ever,O
co,O
-,O
pilot,O
.,O
Being,O
commander,O
is,O
different,O
.,O
It,O
means,O
supervising,O
the,O
rest,O
of,O
the,O
crew,O
in,O
training,O
and,O
leading,O
them,O
in,O
flight,O
.,O
It,O
is,O
",",O
in,O
short,O
",",O
the,O
kind,O
of,O
management,O
job,O
many,O
American,O
women,O
say,O
they,O
',O
ve,O
had,O
to,O
fight,O
for,O
.,O
In,O
space,O
",",O
some,O
say,O
female,O
pilots,O
were,O
held,O
up,O
until,O
now,B-DATE
by,O
the,O
lack,O
of,O
piloting,O
opportunities,O
for,O
them,O
in,O
the,O
military,O
.,O
Once,O
Colonel,O
Collins,O
was,O
picked,O
as,O
a,O
NASA,O
astronaut,O
",",O
she,O
followed,O
a,O
normal,O
progression,O
within,O
NASA,O
.,O
Nobody,O
hurried,O
her,O
up,O
.,O
No,O
one,O
held,O
her,O
back,O
.,O
Many,O
NASA,O
watchers,O
say,O
female,O
astronauts,O
have,O
become,O
part,O
of,O
the,O
agency,O
',O
s,O
routine,O
.,O
But,O
they,O
still,O
have,O
catching,O
up,O
to,O
do,O
two,O
hundred,O
and,O
thirty,O
four,O
Americans,O
have,O
flown,O
in,O
space,O
",",O
only,O
twenty,O
six,O
of,O
them,O
women,O
.,O
Ned,O
Potter,O
",",O
ABC,O
News,O
.,O
