token,tag
NAIROBI,O
",",O
Kenya,O
(,O
AP,O
),O
_,O
The,O
following,O
are,O
the,O
latest,O
figures,O
as,O
of,O
Monday,B-DATE
for,O
the,O
dead,O
and,O
injured,O
in,O
the,O
bombings,O
of,O
the,O
U,O
.,O
S,O
.,O
Embassies,O
in,O
Nairobi,O
",",O
Kenya,O
",",O
and,O
Dar,O
es,O
Salaam,O
",",O
Tanzania,O
.,O
The,O
source,O
for,O
the,O
Kenyan,O
figures,O
is,O
the,O
Department,O
of,O
Relief,O
and,O
Rehabilitation,O
in,O
the,O
office,O
of,O
President,O
Daniel,O
arap,O
Moi,O
.,O
The,O
source,O
for,O
the,O
Tanzanian,O
figures,O
is,O
the,O
U,O
.,O
S,O
.,O
Embassy,O
in,O
Dar,O
es,O
Salaam,O
.,O
KENYA,O
:,O
Total,O
Dead,O
:,O
192,O
Americans,O
:,O
12,O
Injured,O
:,O
4,O
",",O
877,O
Hospitalized,O
:,O
542,O
Treated,O
and,O
discharged,O
:,O
4,O
",",O
257,O
TANZANIA,O
:,O
Total,O
dead,O
:,O
10,O
Americans,O
:,O
0,O
Injured,O
:,O
74,O
Hospitalized,O
:,O
6,O
