WASHINGTON,O,
_,O,
Following,O,
are,O,
statements,O,
made,O,
Friday,B-DATE,
and,O,
Thursday,B-DATE,
by,O,
Lawrence,O,
Wechsler,O,
",",O,
a,O,
lawyer,O,
for,O,
the,O,
White,O,
House,O,
secretary,O,
",",O,
Betty,O,
Currie,O,
;,O,
the,O,
White,O,
House,O,
;,O,
White,O,
House,O,
spokesman,O,
Mike,O,
McCurry,O,
",",O,
and,O,
President,O,
Clinton,O,
in,O,
response,O,
to,O,
an,O,
article,O,
in,O,
The,O,
New,O,
York,O,
Times,O,
on,O,
Friday,B-DATE,
about,O,
her,O,
statements,O,
regarding,O,
a,O,
meeting,O,
with,O,
the,O,
president,O,
:,O,
Wechsler,O,
on,O,
Thursday,B-DATE,
``,O,
Without,O,
commenting,O,
on,O,
the,O,
allegations,O,
raised,O,
in,O,
this,O,
article,O,
",",O,
to,O,
the,O,
extent,O,
that,O,
there,O,
is,O,
any,O,
implication,O,
or,O,
suggestion,O,
that,O,
Mrs,O,
.,O,
Currie,O,
was,O,
aware,O,
of,O,
any,O,
legal,O,
or,O,
ethical,O,
impropriety,O,
by,O,
anyone,O,
",",O,
that,O,
implication,O,
or,O,
suggestion,O,
is,O,
entirely,O,
inaccurate,O,
.'',O,
White,O,
House,O,
on,O,
Thursday,B-DATE,
``,O,
For,O,
the,B-DURATION,
past,I-DURATION,
few,I-DURATION,
weeks,I-DURATION,
we,O,
',O,
ve,O,
been,O,
subjected,O,
to,O,
false,O,
leaks,O,
designed,O,
to,O,
mislead,O,
both,O,
reporters,O,
and,O,
the,O,
American,O,
public,O,
.,O,
We,O,
',O,
re,O,
not,O,
going,O,
to,O,
dignify,O,
the,O,
latest,O,
false,O,
leak,O,
with,O,
a,O,
response,O,
.'',O,
McCurry,O,
on,O,
Friday,B-DATE,
``,O,
I,O,
want,O,
to,O,
be,O,
absolutely,O,
clear,O,
",",O,
to,O,
the,O,
extent,O,
there,O,
is,O,
any,O,
implication,O,
or,O,
the,O,
slightest,O,
suggestion,O,
that,O,
Mrs,O,
.,O,
Currie,O,
believes,O,
that,O,
the,O,
President,O,
or,O,
anyone,O,
else,O,
tried,O,
to,O,
influence,O,
her,O,
recollection,O,
",",O,
that,O,
is,O,
absolutely,O,
false,O,
and,O,
a,O,
mischaracterization,O,
of,O,
the,O,
facts,O,
.,O,
I,O,
am,O,
shocked,O,
and,O,
dismayed,O,
by,O,
the,O,
numerous,O,
leaks,O,
regarding,O,
Mrs,O,
.,O,
Currie,O,
',O,
s,O,
grand,O,
jury,O,
testimony,O,
.'',O,
Clinton,O,
on,O,
Friday,B-DATE,
.,O,
``,O,
Once,O,
again,O,
",",O,
I,O,
never,O,
asked,O,
anybody,O,
to,O,
do,O,
anything,O,
but,O,
tell,O,
the,O,
truth,O,
.,O,
I,O,
know,O,
about,O,
the,O,
stories,O,
today,B-DATE,
.,O,
I,O,
was,O,
pleased,O,
that,O,
Ms,O,
.,O,
Currie,O,
',O,
s,O,
lawyers,O,
stated,O,
unambiguously,O,
this,B-TIME,
morning,I-TIME,
_,O,
unambiguously,O,
_,O,
that,O,
she,O,
',O,
s,O,
not,O,
aware,O,
of,O,
any,O,
unethical,O,
conduct,O,
.,O,
