token,tag
The,O
Clinton,O
administration,O
',O
s,O
wisdom,O
in,O
returning,O
Elian,O
Gonzalez,O
to,O
his,O
father,O
was,O
confirmed,O
over,O
the,B-DATE
weekend,I-DATE
decision,O
of,O
his,O
Miami,O
relatives,O
and,O
their,O
Republican,O
allies,O
to,O
further,O
politicize,O
what,O
ought,O
to,O
be,O
a,O
straightforward,O
child,O
-,O
custody,O
case,O
.,O
Elian,O
is,O
finally,O
getting,O
time,O
to,O
reconnect,O
with,O
his,O
father,O
in,O
a,O
quiet,O
",",O
neutral,O
setting,O
where,O
he,O
is,O
no,O
longer,O
a,O
metaphor,O
for,O
the,O
war,O
between,O
the,O
Cubans,O
.,O
A,O
few,O
miles,O
from,O
his,O
temporary,O
home,O
at,O
Andrews,O
Air,O
Force,O
Base,O
",",O
Senator,O
Bob,O
Smith,O
of,O
New,O
Hampshire,O
",",O
Representative,O
Tom,O
DeLay,O
of,O
Texas,O
",",O
both,O
Republicans,O
",",O
and,O
the,O
relatives,O
were,O
treating,O
the,O
raid,O
to,O
return,O
Elian,O
as,O
though,O
it,O
were,O
a,O
Nazi,O
SS,O
operation,O
.,O
Yet,O
federal,O
agents,O
had,O
a,O
warrant,O
",",O
were,O
enforcing,O
US,O
law,O
",",O
and,O
entered,O
the,O
house,O
with,O
the,O
proper,O
force,O
to,O
ensure,O
minimal,O
resistance,O
and,O
injury,O
.,O
It,O
was,O
a,O
model,O
of,O
efficient,O
law,O
enforcement,O
",",O
guided,O
by,O
due,O
process,O
.,O
The,O
raid,O
was,O
necessary,O
because,O
the,O
Gonzalez,O
relatives,O
in,O
Miami,O
",",O
refusing,O
to,O
return,O
the,O
boy,O
",",O
made,O
him,O
into,O
a,O
symbol,O
of,O
resistance,O
to,O
Fidel,O
Castro,O
.,O
Elian,O
printed,O
his,O
name,O
on,O
an,O
application,O
for,O
asylum,O
and,O
was,O
put,O
in,O
front,O
of,O
a,O
video,O
camera,O
to,O
say,O
that,O
he,O
did,O
not,O
want,O
to,O
go,O
back,O
to,O
Cuba,O
.,O
The,O
relatives,O
treated,O
the,O
boy,O
like,O
a,O
political,O
prop,O
.,O
As,O
did,O
Castro,O
",",O
a,O
master,O
manipulator,O
of,O
public,O
opinion,O
in,O
Cuba,O
.,O
Had,O
the,O
relatives,O
allowed,O
Elian,O
to,O
return,O
to,O
Cuba,O
",",O
they,O
would,O
have,O
denied,O
the,O
dictator,O
an,O
opportunity,O
to,O
reenergize,O
support,O
for,O
his,O
regime,O
.,O
Juan,O
Miguel,O
Gonzalez,O
apparently,O
is,O
a,O
Castro,O
supporter,O
",",O
but,O
that,O
should,O
not,O
disqualify,O
him,O
from,O
being,O
reunited,O
with,O
his,O
child,O
.,O
Ever,O
since,O
he,O
first,O
learned,O
that,O
Elian,O
was,O
in,O
Florida,O
last,B-DATE
November,I-DATE
",",O
he,O
has,O
been,O
persistent,O
in,O
seeking,O
the,O
boy,O
',O
s,O
return,O
.,O
Elian,O
has,O
developed,O
great,O
affection,O
for,O
the,O
Miami,O
relatives,O
.,O
It,O
would,O
be,O
ideal,O
if,O
they,O
could,O
have,O
returned,O
him,O
to,O
his,O
father,O
yet,O
stayed,O
in,O
contact,O
while,O
their,O
appeal,O
was,O
pending,O
in,O
court,O
.,O
Negotiations,O
failed,O
",",O
however,O
",",O
because,O
they,O
insisted,O
on,O
taking,O
the,O
place,O
of,O
the,O
father,O
",",O
rather,O
than,O
being,O
treated,O
as,O
concerned,O
",",O
yet,O
distant,O
",",O
relatives,O
.,O
Juan,O
and,O
Elian,O
Gonzalez,O
will,O
remain,O
in,O
the,O
United,O
States,O
pending,O
the,O
appeal,O
.,O
The,O
father,O
can,O
remain,O
here,O
",",O
but,O
he,O
can,O
also,O
return,O
to,O
Cuba,O
if,O
he,O
wishes,O
.,O
Like,O
any,O
other,O
6,O
-,O
year,O
-,O
old,O
in,O
the,O
care,O
of,O
a,O
loving,O
parent,O
",",O
Elian,O
should,O
go,O
wherever,O
that,O
parent,O
wants,O
.,O
