token,tag
The,O
US,O
government,O
recently,O
announced,O
new,O
regulations,O
designed,O
to,O
change,O
the,O
way,O
transplant,O
organs,O
are,O
made,O
available,O
to,O
sick,O
patients,O
.,O
Under,O
the,O
new,O
guidelines,O
",",O
donor,O
organs,O
will,O
be,O
made,O
available,O
to,O
the,O
sickest,O
people,O
first,O
",",O
wherever,O
they,O
live,O
in,O
the,O
country,O
.,O
Currently,O
",",O
transplant,O
organs,O
are,O
rationed,O
through,O
a,O
regional,O
system,O
of,O
distribution,O
.,O
The,O
private,O
group,O
that,O
runs,O
the,O
current,O
system,O
",",O
United,O
Network,O
for,O
Organ,O
Sharing,O
",",O
or,O
UNOS,O
",",O
objects,O
to,O
the,O
new,O
regulations,O
.,O
UNOS,O
says,O
the,O
regulations,O
put,O
the,O
federal,O
government,O
in,O
charge,O
of,O
deciding,O
who,O
gets,O
transplants,O
and,O
that,O
many,O
hospital,O
transplant,O
centers,O
would,O
be,O
forced,O
to,O
close,O
.,O
Health,O
and,O
Human,O
Services,O
Secretary,O
Do,O
-,O
Donna,O
Shalala,O
says,O
patients,O
who,O
need,O
an,O
organ,O
transplant,O
should,O
not,O
have,O
to,O
take,O
a,O
chance,O
that,O
an,O
organ,O
will,O
become,O
available,O
in,O
their,O
local,O
area,O
",",O
nor,O
should,O
patients,O
have,O
to,O
travel,O
to,O
transplant,O
centers,O
far,O
from,O
their,O
homes,O
to,O
improve,O
their,O
chances,O
of,O
getting,O
an,O
organ,O
.,O
UNOS,O
spokeswoman,O
Donna,O
Henry,O
Wright,O
says,O
the,O
new,O
policy,O
would,O
not,O
necessarily,O
be,O
more,O
fair,O
or,O
effective,O
because,O
allowances,O
are,O
already,O
made,O
for,O
the,O
most,O
needy,O
patients,O
.,O
The,O
sickest,O
patients,O
are,O
already,O
treated,O
first,O
.,O
There,O
are,O
not,O
huge,O
waiting,O
uh,O
disparit,O
-,O
waiting,O
time,O
disparities,O
amongst,O
the,O
very,O
uh,O
sickest,O
patients,O
.,O
It,O
',O
s,O
between,O
two,B-DURATION
to,O
six,B-DURATION
days,I-DURATION
for,O
every,O
one,O
uh,O
of,O
the,O
sickest,O
patients,O
across,O
the,O
country,O
.,O
um,O
So,O
it,O
',O
s,O
a,O
-,O
it,O
',O
s,O
a,O
fallacy,O
that,O
they,O
',O
re,O
doing,O
this,O
because,O
um,O
the,O
sickest,O
patients,O
aren,O
',O
t,O
being,O
served,O
.,O
Doctor,O
James,O
Burdick,O
",",O
the,O
Professor,O
of,O
Transplant,O
Surgery,O
at,O
Johns,O
Hopkins,O
University,O
Hospital,O
in,O
Baltimore,O
",",O
Maryland,O
",",O
and,O
former,O
President,O
of,O
UNOS,O
",",O
said,O
the,O
current,O
system,O
has,O
evolved,O
over,O
several,B-DURATION
years,I-DURATION
and,O
it,O
works,O
well,O
.,O
You,O
may,O
",",O
in,O
a,B-DATE
year,I-DATE
or,I-DATE
two,B-DURATION
",",O
save,O
a,O
few,O
more,O
lives,O
if,O
you,O
do,O
sickest,O
first,O
.,O
But,O
the,O
number,O
of,O
patients,O
waiting,O
then,O
begins,O
to,O
increase,O
",",O
um,O
and,O
",",O
in,O
fact,O
",",O
um,O
over,O
the,B-DURATION
years,I-DURATION
many,O
more,O
patients,O
who,O
are,O
about,O
to,O
die,O
of,O
liver,O
tra,O
-,O
uh,O
without,O
a,O
liver,O
transplant,O
would,O
accumulate,O
.,O
If,O
you,O
do,O
the,O
uh,O
alternative,O
extreme,O
",",O
you,O
don,O
',O
t,O
save,O
as,O
many,O
lives,O
in,O
the,B-DURATION
early,I-DURATION
years,I-DURATION
",",O
by,O
a,O
small,O
fraction,O
.,O
Our,O
system,O
is,O
balanced,O
",",O
it,O
',O
s,O
right,O
in,O
the,O
middle,O
.,O
And,O
",",O
therefore,O
",",O
it,O
works,O
very,O
well,O
.,O
Nationwide,O
",",O
there,O
are,O
about,O
ten,O
thousand,O
patients,O
waiting,O
for,O
liver,O
transplants,O
each,B-SET
year,I-SET
and,O
only,O
four,O
thousand,O
organs,O
become,O
available,O
for,O
transplants,O
.,O
Secretary,O
Shalala,O
says,O
UNOS,O
five,B-DURATION
months,I-DURATION
ago,I-DATE
",",O
or,O
gave,O
them,O
five,B-DURATION
months,I-DURATION
to,O
develop,O
a,O
new,O
plan,O
to,O
distribute,O
livers,O
which,O
are,O
in,O
the,O
shortest,O
supply,O
.,O
This,O
is,O
VOA,O
Today,O
.,O
