CNN,O,
headline,O,
news,O,
",",O,
I,O,
',O,
m,O,
Sachi,O,
Koto,O,
.,O,
Diplomacy,O,
appears,O,
to,O,
be,O,
making,O,
headway,O,
in,O,
resolving,O,
the,O,
united,O,
nation,O,
',O,
s,O,
standoff,O,
with,O,
Iraq,O,
.,O,
A,O,
UN,O,
spokesman,O,
says,O,
UN,O,
secretary,O,
general,O,
Kofi,O,
Annan,O,
is,O,
on,O,
the,O,
verge,O,
of,O,
a,O,
breakthrough,O,
",",O,
but,O,
added,O,
it,O,
',O,
s,O,
not,O,
done,O,
yet,O,
.,O,
Annan,O,
wrapped,O,
up,O,
a,O,
three,B-DURATION,
hour,I-DURATION,
meeting,O,
with,O,
Iraqi,O,
president,O,
Saddam,O,
Hussein,O,
in,O,
Baghdad,O,
today,B-DATE,
.,O,
He,O,
',O,
s,O,
expected,O,
to,O,
meet,O,
with,O,
Iraqi,O,
deputy,O,
prime,O,
minister,O,
Tariq,O,
Aziz,O,
later,B-TIME,
this,I-TIME,
afternoon,I-TIME,
.,O,
One,O,
major,O,
sticking,O,
point,O,
has,O,
been,O,
Iraq,O,
',O,
s,O,
proposal,O,
to,O,
open,O,
it,O,
',O,
s,O,
presidential,O,
sites,O,
for,O,
no,B-DURATION,
more,I-DURATION,
than,I-DURATION,
sixty,I-DURATION,
days,I-DURATION,
.,O,
The,O,
UN,O,
security,O,
council,O,
insists,O,
any,O,
deal,O,
must,O,
allow,O,
UN,O,
inspectors,O,
unrestricted,O,
access,O,
to,O,
all,O,
suspected,O,
weapons,O,
sites,O,
.,O,
