token,tag
BRUSSELS,O
",",O
February,B-DATE
10,I-DATE
(,O
Xinhua,O
),O
--,O
The,O
North,O
Atlantic,O
Treaty,O
Organization,O
(,O
NATO,O
),O
has,O
decided,O
to,O
admit,O
Poland,O
",",O
Hungary,O
and,O
the,O
Czech,O
Republic,O
in,O
early,O
March,B-DATE
",",O
an,O
official,O
from,O
the,O
organization,O
said,O
on,O
Wednesday,B-DATE
.,O
The,O
official,O
said,O
that,O
the,O
accession,O
was,O
planned,O
for,O
early,O
March,B-DATE
",",O
but,O
no,O
exact,O
date,O
was,O
fixed,O
yet,O
.,O
He,O
added,O
that,O
a,O
ceremonial,O
accession,O
would,O
still,O
be,O
held,O
at,O
the,O
NATO,O
Washington,O
summit,O
on,O
April,B-DATE
24,I-DATE
and,O
25,B-DATE
.,O
The,O
March,B-DATE
accession,O
will,O
enable,O
the,O
three,O
countries,O
to,O
be,O
eligible,O
for,O
signing,O
the,O
summit,O
documents,O
that,O
will,O
include,O
the,O
alliance,O
',O
s,O
new,O
strategic,O
concept,O
and,O
post,O
-,O
Madrid,O
development,O
plan,O
",",O
the,O
official,O
added,O
.,O
The,O
western,O
military,O
alliance,O
invited,O
the,O
three,O
central,O
and,O
eastern,O
European,O
countries,O
to,O
join,O
the,O
16,O
-,O
nation,O
bloc,O
in,O
July,B-DATE
1997,I-DATE
at,O
the,O
Madrid,O
summit,O
.,O
The,O
three,O
countries,O
have,O
finished,O
all,O
necessary,O
formalities,O
for,O
accession,O
after,O
the,O
Hungarian,O
parliament,O
ratified,O
the,O
accession,O
treaty,O
on,O
Tuesday,B-DATE
.,O
Also,O
applying,O
for,O
NATO,O
membership,O
are,O
Romania,O
",",O
Slovenia,O
",",O
Latvia,O
",",O
Estonia,O
",",O
Lithuania,O
and,O
Bulgaria,O
.,O
