token,tag
GOODY,O
PRODUCTS,O
Inc,O
.,O
cut,O
its,O
quarterly,O
dividend,O
to,O
five,O
cents,O
a,O
share,O
from,O
11,O
.,O
5,O
cents,O
a,O
share,O
.,O
The,O
reduced,O
dividend,O
is,O
payable,O
Jan,B-DATE
.,I-DATE
2,I-DATE
to,O
stock,O
of,O
record,O
Dec,B-DATE
.,I-DATE
15,I-DATE
.,O
The,O
Kearny,O
",",O
N,O
.,O
J,O
.-,O
based,O
maker,O
of,O
hair,O
accessories,O
and,O
other,O
cosmetic,O
products,O
said,O
it,O
cut,O
the,O
dividend,O
due,O
to,O
its,O
third,B-DATE
-,I-DATE
quarter,I-DATE
loss,O
of,O
$,O
992,O
",",O
000,O
",",O
or,O
15,O
cents,O
a,O
share,O
.,O
In,O
the,B-DATE
year,I-DATE
-,I-DATE
ago,I-DATE
quarter,I-DATE
",",O
the,O
company,O
reported,O
net,O
income,O
of,O
$,O
1,O
.,O
9,O
million,O
",",O
or,O
29,O
cents,O
a,O
share,O
.,O
The,O
company,O
also,O
adopted,O
an,O
anti,O
-,O
takeover,O
plan,O
.,O
