Italian,O,
chemical,O,
giant,O,
Montedison,O,
S,O,
.,O,
p,O,
.,O,
A,O,
".,",O,
through,O,
its,O,
Montedison,O,
Acquisition,O,
N,O,
.,O,
V,O,
.,O,
indirect,O,
unit,O,
",",O,
began,O,
its,O,
$,O,
37,O,
-,O,
a,O,
-,O,
share,O,
tender,O,
offer,O,
for,O,
all,O,
the,O,
common,O,
shares,O,
outstanding,O,
of,O,
Erbamont,O,
N,O,
.,O,
V,O,
".,",O,
a,O,
maker,O,
of,O,
pharmaceuticals,O,
incorporated,O,
in,O,
the,O,
Netherlands,O,
.,O,
The,O,
offer,O,
",",O,
advertised,O,
in,O,
today,B-DATE,
',O,
s,O,
editions,O,
of,O,
The,O,
Wall,O,
Street,O,
Journal,O,
",",O,
is,O,
scheduled,O,
to,O,
expire,O,
at,O,
the,O,
the,B-TIME,
end,I-TIME,
of,I-TIME,
November,I-TIME,
.,O,
Montedison,O,
currently,B-DATE,
owns,O,
about,O,
72,O,
%,O,
of,O,
Erbamont,O,
',O,
s,O,
common,O,
shares,O,
outstanding,O,
.,O,
The,O,
offer,O,
is,O,
being,O,
launched,O,
pursuant,O,
to,O,
a,O,
previously,B-TIME,
announced,O,
agreement,O,
between,O,
the,O,
companies,O,
.,O,
