token,tag
Major,O
job,O
cuts,O
at,O
AT,O
and,O
T,O
.,O
The,O
long,O
distance,O
giant,O
slashing,O
up,O
to,O
eighteen,O
thousand,O
jobs,O
",",O
freezing,O
executive,O
salaries,O
and,O
shaking,O
up,O
management,O
.,O
The,O
changes,O
are,O
part,O
of,O
a,O
one,O
point,O
six,O
billion,O
dollar,O
cost,O
cutting,O
initiative,O
to,O
revitalize,O
its,O
position,O
in,O
the,O
telecommunications,O
business,O
.,O
Earlier,O
AT,O
and,O
T,O
also,O
announced,O
an,O
eighteen,O
percent,O
drop,O
in,O
profits,O
for,O
the,B-DURATION
fourth,I-DURATION
quarter,I-DURATION
.,O
The,O
company,O
',O
s,O
sales,O
force,O
applauded,O
the,O
shake,O
up,O
.,O
It,O
',O
s,O
not,O
something,O
we,O
',O
re,O
not,O
used,O
to,O
in,O
the,O
industry,O
.,O
But,O
I,O
think,O
right,O
now,B-DATE
",",O
for,O
AT,O
and,O
T,O
and,O
the,O
people,O
here,O
",",O
it,O
',O
s,O
fairly,O
intense,O
as,O
you,O
might,O
w,O
-,O
well,O
imagine,O
.,O
I,O
mean,O
look,O
at,O
the,O
stock,O
.,O
You,O
know,O
",",O
since,O
he,O
',O
s,O
been,O
here,O
the,O
stock,O
skyrocketed,O
so,O
",",O
Yeah,O
I,O
think,O
he,O
',O
s,O
doing,O
the,O
right,O
thing,O
.,O
I,O
think,O
it,O
',O
s,O
a,O
good,O
thing,O
that,O
they,O
',O
re,O
finally,O
going,O
to,O
be,O
downsizing,O
you,O
know,O
some,O
management,O
because,O
there,O
is,O
a,O
whole,O
lot,O
of,O
waste,O
.,O
Good,O
news,O
for,O
AT,O
and,O
T,O
today,B-DATE
.,O
I,O
think,O
it,O
',O
s,O
excellent,O
for,O
the,O
company,O
.,O
But,O
investors,O
are,O
approaching,O
the,O
changes,O
with,O
caution,O
shares,O
of,O
AT,O
and,O
T,O
down,O
nearly,O
four,O
at,O
sixty,O
-,O
one,O
and,O
a,O
half,O
.,O
