token,tag
AEP,O
INDUSTRIES,O
Inc,O
.,O
directors,O
authorized,O
a,O
3,O
-,O
for,O
-,O
2,O
split,O
of,O
the,O
common,O
",",O
payable,O
Dec,B-DATE
.,I-DATE
7,I-DATE
to,O
stock,O
of,O
record,O
Nov,B-DATE
.,I-DATE
22,I-DATE
.,O
The,O
split,O
was,O
aimed,O
at,O
boosting,O
the,O
stock,O
',O
s,O
liquidity,O
",",O
said,O
Brendan,O
Barba,O
",",O
chairman,O
of,O
the,O
Moonachie,O
",",O
N,O
.,O
J,O
".,",O
maker,O
of,O
plastic,O
film,O
products,O
.,O
After,O
the,O
split,O
",",O
the,O
company,O
will,O
have,O
more,O
than,O
4,O
.,O
7,O
million,O
shares,O
outstanding,O
.,O
In,O
national,O
over,O
-,O
the,O
-,O
counter,O
trading,O
yesterday,B-DATE
",",O
AEP,O
shares,O
closed,O
at,O
$,O
21,O
.,O
25,O
",",O
down,O
50,O
cents,O
.,O
