DAR,O,
ES,O,
SALAAM,O,
",",O,
Tanzania,O,
(,O,
AP,O,
),O,
_,O,
U,O,
.,O,
S,O,
.,O,
Secretary,O,
of,O,
State,O,
Madeleine,O,
Albright,O,
headed,O,
Tuesday,B-DATE,
to,O,
East,O,
Africa,O,
",",O,
seeking,O,
to,O,
demonstrate,O,
American,O,
support,O,
after,O,
the,O,
bombings,O,
that,O,
targeted,O,
U,O,
.,O,
S,O,
.,O,
embassies,O,
",",O,
but,O,
mostly,O,
claimed,O,
African,O,
lives,O,
.,O,
``,O,
To,O,
America,O,
',O,
s,O,
embassy,O,
personnel,O,
in,O,
Nairobi,O,
and,O,
Dar,O,
es,O,
Salaam,O,
",",O,
I,O,
will,O,
bring,O,
a,O,
message,O,
of,O,
solidarity,O,
in,O,
their,O,
sorrow,O,
",",O,
admiration,O,
for,O,
their,O,
courage,O,
and,O,
support,O,
for,O,
their,O,
continued,O,
efforts,O,
on,O,
behalf,O,
of,O,
our,O,
country,O,
",''",O,
Albright,O,
said,O,
Monday,B-DATE,
before,O,
leaving,O,
Andrews,O,
Air,O,
Force,O,
Base,O,
",",O,
Maryland,O,
.,O,
``,O,
To,O,
the,O,
people,O,
of,O,
Kenya,O,
and,O,
Tanzania,O,
",",O,
I,O,
will,O,
bring,O,
a,O,
message,O,
of,O,
friendship,O,
",",O,
made,O,
deeper,O,
by,O,
our,O,
shared,O,
grief,O,
",",O,
and,O,
of,O,
support,O,
in,O,
doing,O,
all,O,
we,O,
can,O,
to,O,
ease,O,
their,O,
suffering,O,
and,O,
help,O,
them,O,
start,O,
anew,O,
.'',O,
Albright,O,
",",O,
after,O,
a,O,
16,B-DURATION,
-,I-DURATION,
hour,I-DURATION,
flight,O,
",",O,
is,O,
scheduled,O,
to,O,
spend,O,
only,O,
five,B-DURATION,
hours,I-DURATION,
on,O,
the,O,
ground,O,
in,O,
Dar,O,
es,O,
Salaam,O,
",",O,
Tanzania,O,
",",O,
her,O,
first,O,
stop,O,
Tuesday,B-DATE,
morning,I-DATE,
",",O,
and,O,
then,O,
about,O,
5,B-DURATION,
1,I-DURATION,
/,I-DURATION,
2,I-DURATION,
hours,I-DURATION,
in,O,
Nairobi,O,
",",O,
Kenya,O,
",",O,
later,O,
in,O,
the,O,
day,O,
before,O,
returning,O,
immediately,O,
home,O,
.,O,
Albright,O,
',O,
s,O,
visit,O,
to,O,
East,O,
Africa,O,
was,O,
designed,O,
in,O,
part,O,
to,O,
demonstrate,O,
U,O,
.,O,
S,O,
.,O,
resolve,O,
in,O,
the,O,
face,O,
of,O,
growing,O,
terrorist,O,
threats,O,
to,O,
Americans,O,
.,O,
Some,O,
Kenyans,O,
have,O,
complained,O,
that,O,
after,O,
the,O,
Nairobi,O,
bombing,O,
",",O,
rescuers,O,
gave,O,
priority,O,
to,O,
finding,O,
American,O,
victims,O,
and,O,
to,O,
protecting,O,
evidence,O,
at,O,
the,O,
expense,O,
of,O,
saving,O,
African,O,
lives,O,
.,O,
But,O,
Albright,O,
and,O,
other,O,
U,O,
.,O,
S,O,
.,O,
officials,O,
have,O,
strongly,O,
disputed,O,
that,O,
notion,O,
",",O,
saying,O,
the,O,
priority,O,
had,O,
been,O,
rescuing,O,
all,O,
possible,O,
",",O,
African,O,
and,O,
American,O,
.,O,
On,O,
Friday,B-DATE,
",",O,
when,O,
Albright,O,
set,O,
aside,O,
vacation,O,
plans,O,
for,O,
the,O,
hastily,O,
planned,O,
trip,O,
to,O,
East,O,
Africa,O,
",",O,
the,O,
State,O,
Department,O,
lifted,O,
a,O,
warning,O,
against,O,
travel,O,
to,O,
Kenya,O,
",",O,
whose,O,
economy,O,
relies,O,
heavily,O,
on,O,
foreign,O,
visitors,O,
",",O,
to,O,
further,O,
ease,O,
any,O,
strain,O,
in,O,
the,O,
aftermath,O,
of,O,
the,O,
tragedy,O,
.,O,
Just,O,
ahead,O,
of,O,
Albright,O,
',O,
s,O,
one,B-DURATION,
-,I-DURATION,
day,I-DURATION,
trip,O,
",",O,
the,O,
State,O,
Department,O,
on,O,
Sunday,B-DATE,
issued,O,
an,O,
updated,O,
``,O,
worldwide,O,
caution,O,
'',O,
to,O,
U,O,
.,O,
S,O,
.,O,
travelers,O,
in,O,
the,O,
aftermath,O,
of,O,
the,O,
Aug,B-DATE,
.,I-DATE,
7,I-DATE,
bombings,O,
at,O,
American,O,
embassies,O,
in,O,
Kenya,O,
and,O,
Tanzania,O,
and,O,
because,O,
of,O,
fresh,O,
threats,O,
to,O,
U,O,
.,O,
S,O,
.,O,
interests,O,
abroad,O,
.,O,
An,O,
accompanying,O,
statement,O,
specifically,O,
warned,O,
``,O,
against,O,
all,O,
travel,O,
to,O,
Pakistan,O,
.'',O,
The,O,
State,O,
Department,O,
also,O,
ordered,O,
the,O,
departure,O,
of,O,
all,O,
non,O,
-,O,
emergency,O,
personnel,O,
and,O,
families,O,
of,O,
employees,O,
from,O,
the,O,
embassy,O,
at,O,
Islamabad,O,
and,O,
from,O,
U,O,
.,O,
S,O,
.,O,
consulates,O,
in,O,
Karachi,O,
",",O,
Lahore,O,
and,O,
Peshawar,O,
.,O,
The,O,
warnings,O,
came,O,
after,O,
Pakistan,O,
handed,O,
over,O,
to,O,
Kenyan,O,
officials,O,
a,O,
suspect,O,
in,O,
the,O,
U,O,
.,O,
S,O,
.,O,
Embassy,O,
bombings,O,
",",O,
Mohammed,O,
Saddiq,O,
Odeh,O,
",",O,
also,O,
known,O,
as,O,
Mohammad,O,
Sadiq,O,
Howaida,O,
and,O,
Abdull,O,
Bast,O,
Awadh,O,
.,O,
The,O,
first,O,
batch,O,
of,O,
evidence,O,
from,O,
the,O,
Nairobi,O,
bombing,O,
arrived,O,
over,O,
the,B-DURATION,
weekend,I-DURATION,
at,O,
the,O,
FBI,O,
lab,O,
at,O,
the,O,
bureau,O,
',O,
s,O,
Washington,O,
headquarters,O,
and,O,
is,O,
being,O,
analyzed,O,
",",O,
FBI,O,
officials,O,
said,O,
Monday,B-DATE,
.,O,
Many,O,
more,O,
shipments,O,
are,O,
expected,O,
",",O,
but,O,
the,O,
first,O,
batch,O,
contained,O,
cotton,O,
swabs,O,
