token,tag
HAMILTON,O
(,O
AP,O
),O
--,O
Canadian,O
authorities,O
issued,O
a,O
nationwide,O
arrest,O
warrant,O
Monday,B-DATE
for,O
James,O
Charles,O
Kopp,O
",",O
a,O
U,O
.,O
S,O
.,O
fugitive,O
on,O
the,O
FBI,O
',O
s,O
most,O
wanted,O
list,O
for,O
an,O
alleged,O
anti,O
-,O
abortion,O
murder,O
.,O
Kopp,O
also,O
is,O
wanted,O
for,O
questioning,O
in,O
at,O
least,O
two,O
other,O
shootings,O
of,O
doctors,O
who,O
performed,O
abortions,O
.,O
The,O
Canadian,O
warrant,O
issued,O
Monday,B-DATE
charged,O
Kopp,O
with,O
attempted,O
murder,O
in,O
the,O
1995,B-DATE
shooting,O
of,O
Dr,O
.,O
Hugh,O
Short,O
",",O
who,O
was,O
wounded,O
in,O
the,O
elbow,O
but,O
survived,O
the,O
attack,O
at,O
his,O
home,O
in,O
Ancaster,O
",",O
Ontario,O
.,O
``,O
It,O
allows,O
us,O
to,O
spread,O
his,O
name,O
far,O
and,O
wide,O
across,O
Canada,O
and,O
say,O
that,O
he,O
is,O
wanted,O
for,O
attempted,O
murder,O
",''",O
said,O
police,O
Inspector,O
Dave,O
Bowen,O
.,O
Kopp,O
",",O
who,O
is,O
from,O
Vermont,O
",",O
was,O
indicted,O
last,B-DATE
year,I-DATE
in,O
the,O
October,B-DATE
1998,I-DATE
shooting,O
death,O
of,O
Dr,O
.,O
Barnet,O
Slepian,O
",",O
an,O
obstetrician,O
in,O
Buffalo,O
",",O
New,O
York,O
.,O
He,O
also,O
is,O
wanted,O
in,O
connection,O
with,O
the,O
shooting,O
of,O
doctors,O
in,O
Winnipeg,O
",",O
Vancouver,O
and,O
Rochester,O
",",O
New,O
York,O
.,O
Slepian,O
was,O
killed,O
by,O
a,O
single,O
gunshot,O
fired,O
from,O
a,O
wooded,O
area,O
through,O
a,O
window,O
of,O
his,O
home,O
.,O
Kopp,O
purports,O
to,O
be,O
a,O
devout,O
Roman,O
Catholic,O
",",O
and,O
the,O
majority,O
of,O
jobs,O
he,O
has,O
held,O
over,O
the,O
past,B-DURATION
20,I-DURATION
years,I-DURATION
have,O
been,O
related,O
to,O
the,O
anti,O
-,O
abortion,O
movement,O
",",O
the,O
U,O
.,O
S,O
.,O
Justice,O
Department,O
said,O
last,B-DATE
year,I-DATE
.,O
He,O
has,O
been,O
arrested,O
more,O
than,O
a,O
dozen,O
times,O
during,O
abortion,O
protests,O
in,O
seven,O
states,O
and,O
Italy,O
.,O
The,O
FBI,O
says,O
Kopp,O
has,O
used,O
29,O
aliases,O
.,O
He,O
was,O
the,O
456th,O
person,O
to,O
be,O
placed,O
on,O
the,O
FBI,O
',O
s,O
most,O
wanted,O
list,O
",",O
which,O
began,O
in,O
1950,B-DATE
.,O
Since,O
then,O
",",O
427,O
fugitives,O
have,O
been,O
taken,O
into,O
custody,O
or,O
located,O
",",O
133,O
of,O
them,O
as,O
a,O
result,O
of,O
citizen,O
assistance,O
",",O
the,O
FBI,O
said,O
.,O
A,O
total,O
of,O
$,O
650,O
",",O
000,O
is,O
being,O
offered,O
in,O
the,O
United,O
States,O
for,O
information,O
leading,O
to,O
Kopp,O
',O
s,O
arrest,O
.,O
